CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
THE_CAPITAL_IS_NOT;The capital is not ;;;;;;;;x;;;;;;;;;;;;;
move_capital_to_brussel_title;Designate Brussels as the new $COUNTRY_ADJ$ capital;;;;;;;;x;;;;;;;;;;;;;
move_capital_to_brussel_desc;Owing to the centrality of the city in question, it would make sense that we should move our administrative and political nexus there. This would make the city the capital of $COUNTRY$ with deep implications for our nation as the previous capital's culture and economic contribution fades and the new capital one's rises potentially changing the culture of nation.;;;;;;;;x;;;;;;;;;;;;;
xeu_form_union_early_title;Form the European Union through force;;;;;;;;x;;;;;;;;;;;;;
xeu_form_union_early_desc;As we have successfully puppeted or sphered the entire European continent, we can strengthen our control over the European continent by binding all nations on it into a single superstate controlled by ourselves.;;;;;;;;x;;;;;;;;;;;;;
xau_form_union_early_title;Form the African Union through force;;;;;;;;x;;;;;;;;;;;;;
xau_form_union_early_desc;As we have successfully puppeted or sphered the entire African continent, we can strengthen our control over the African continent by binding all nations on it into a single superstate controlled by ourselves.;;;;;;;;x;;;;;;;;;;;;;
xan_form_union_early_title;Form ASEAN through force;;;;;;;;x;;;;;;;;;;;;;
xan_form_union_early_desc;As we have successfully puppeted or sphered the entire Southeast Asia region, we can strengthen our control over the region by binding all nations on it into a single superstate controlled by ourselves.;;;;;;;;x;;;;;;;;;;;;;
xsu_form_union_early_title;Form the South American Union through force;;;;;;;;x;;;;;;;;;;;;;
xsu_form_union_early_desc;As we have successfully puppeted or sphered the entire Latin American region, we can strengthen our control over the Latino region by binding all nations on it into a single superstate controlled by ourselves.;;;;;;;;x;;;;;;;;;;;;;
